# Pam's Harvestcraft Cotton Block mapping
version:1.5.1-
modname:PamHCCotton
# configuration file
cfgfile:config/PamHCCotton.cfg

# Files
texturefile:id=blk0,filename=pam/harvestcraft/pamhccotton.png

# Blocks

# Cotton crop
block:id=cottoncropID,data=0,data=1,data=2,=data=3,data=9,data=10,data=11,data=12,data=13,data=14,data=15,patch0-3=0,transparency=TRANSPARENT,txtid=blk0
block:id=cottoncropID,data=4,data=5,data=6,patch0-3=1,transparency=TRANSPARENT,txtid=blk0
block:id=cottoncropID,data=7,data=8,patch0-3=2,transparency=TRANSPARENT,txtid=blk0

# Wild Cotton
block:id=cottonwildID,data=*,patch0-3=2,transparency=TRANSPARENT,txtid=blk0

# Cotton Slaps
# Cotton Stairs
block:id=coloredclothslabwhiteID,id=coloredclothstairswhiteID,data=*,allsides=64,topbottom=6064,transparency=SEMITRANSPARENT
block:id=coloredclothslaborangeID,id=coloredclothstairsorangeID,data=*,allsides=210,topbottom=6210,transparency=SEMITRANSPARENT
block:id=coloredclothslabmagentaID,id=coloredclothstairsmagentaID,data=*,allsides=194,topbottom=6194,transparency=SEMITRANSPARENT
block:id=coloredclothslablightblueID,id=coloredclothstairslightblueID,data=*,allsides=178,topbottom=6178,transparency=SEMITRANSPARENT
block:id=coloredclothslabyellowID,id=coloredclothstairsyellowID,data=*,allsides=162,topbottom=6162,transparency=SEMITRANSPARENT
block:id=coloredclothslablimeID,id=coloredclothstairslimeID,data=*,allsides=146,topbottom=6146,transparency=SEMITRANSPARENT
block:id=coloredclothslabpinkID,id=coloredclothstairspinkID,data=*,allsides=130,topbottom=6130,transparency=SEMITRANSPARENT
block:id=coloredclothslabdarkgreyID,id=coloredclothstairsdarkgreyID,data=*,allsides=114,topbottom=6114,transparency=SEMITRANSPARENT
block:id=coloredclothslablightgreyID,id=coloredclothstairslightgreyID,data=*,allsides=225,topbottom=6225,transparency=SEMITRANSPARENT
block:id=coloredclothslabcyanID,id=coloredclothstairscyanID,data=*,allsides=209,topbottom=6209,transparency=SEMITRANSPARENT
block:id=coloredclothslabpurpleID,id=coloredclothstairspurpleID,data=*,allsides=193,topbottom=6193,transparency=SEMITRANSPARENT
block:id=coloredclothslabblueID,id=coloredclothstairsblueID,data=*,allsides=177,topbottom=6177,transparency=SEMITRANSPARENT
block:id=coloredclothslabbrownID,id=coloredclothstairsbrownID,data=*,allsides=161,topbottom=6161,transparency=SEMITRANSPARENT
block:id=coloredclothslabgreenID,id=coloredclothstairsgreenID,data=*,allsides=145,topbottom=6145,transparency=SEMITRANSPARENT
block:id=coloredclothslabredID,id=coloredclothstairsredID,data=*,allsides=129,topbottom=6129,transparency=SEMITRANSPARENT
block:id=coloredclothslabblackID,id=coloredclothstairsblackID,data=*,allsides=113,topbottom=6113,transparency=SEMITRANSPARENT
